,X,Y,Unique Squirrel ID,Hectare,Shift,Date,Hectare Squirrel Number,Age,Primary Fur Color,Highlight Fur Color,Combination of Primary and Highlight Color,Color notes,Location,Above Ground Sighter Measurement,Specific Location,Running,Chasing,Climbing,Eating,Foraging,Other Activities,Kuks,Quaas,Moans,Tail flags,Tail twitches,Approaches,Indifferent,Runs from,Other Interactions,Lat/Long
2549,-73.9694805745522,40.7743556902843,12F-AM-1020-01,12F,AM,10202018,1,Adult,Cinnamon,White,Cinnamon+White,,Above Ground,17,Tree,False,False,False,False,False,jumping,False,False,False,False,False,False,False,False,,POINT (-73.9694805745522 40.7743556902843)
2553,-73.9701505245419,40.768998364571,6I-PM-1013-07,06I,PM,10132018,7,Adult,Cinnamon,,Cinnamon+,,Above Ground,11,,False,False,True,False,False,,False,False,False,False,False,False,False,False,,POINT (-73.9701505245419 40.768998364571004)
2559,-73.9755459090534,40.7680866624003,4E-AM-1020-04,04E,AM,10202018,4,Adult,Cinnamon,Black,Cinnamon+Black,,Ground Plane,FALSE,,False,False,False,False,False,chillin',False,False,False,False,False,False,False,True,,POINT (-73.9755459090534 40.7680866624003)
2573,-73.978199543688,40.7695660563362,4C-PM-1010-17,04C,PM,10102018,17,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,climbed up tree,True,False,True,False,True,,False,False,False,False,True,False,False,True,,POINT (-73.978199543688 40.7695660563362)
2582,-73.9769693140651,40.7684390015166,3D-AM-1006-01,03D,AM,10062018,1,Adult,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,9,up a tree,True,False,True,True,True,digging (?),False,False,False,True,False,False,False,True,runs from (man led his dog into the area to chase squirrel),POINT (-73.9769693140651 40.7684390015166)
2586,-73.9789971286844,40.7707024146365,5A-PM-1010-04,05A,PM,10102018,4,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,False,False,False,True,True,,False,False,False,False,True,False,False,False,,POINT (-73.9789971286844 40.7707024146365)
2594,-73.9692676659807,40.7700678919108,8I-PM-1013-08,08I,PM,10132018,8,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Above Ground,1,,False,False,True,True,True,,False,False,False,False,False,False,False,True,,POINT (-73.96926766598071 40.7700678919108)
2600,-73.979636950073,40.7677999753976,1C-PM-1013-10,01C,PM,10132018,10,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.979636950073 40.7677999753976)
2607,-73.9522677657659,40.7934034811368,38I-AM-1019-02,38I,AM,10192018,2,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,False,True,,POINT (-73.9522677657659 40.7934034811368)
2611,-73.9711673006524,40.7747979614577,12E-PM-1018-05,12E,PM,10182018,5,Adult,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,True,False,True,False,,POINT (-73.9711673006524 40.7747979614577)
2619,-73.9771800098131,40.7708863131336,5C-PM-1010-03,05C,PM,10102018,3,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,False,False,False,True,,POINT (-73.9771800098131 40.7708863131336)
2635,-73.9700264128414,40.7692014637698,7I-PM-1013-01,07I,PM,10132018,1,Juvenile,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,Bench,False,False,False,True,False,,False,False,False,False,False,True,False,False,,POINT (-73.9700264128414 40.7692014637698)
2645,-73.9772239251936,40.7731716665766,8A-AM-1013-05,08A,AM,10132018,5,Adult,Cinnamon,Gray,Cinnamon+Gray,,Above Ground,20,,True,False,True,True,False,,False,False,False,False,False,True,False,False,,POINT (-73.9772239251936 40.7731716665766)
2646,-73.954499539822,40.7949716693686,38F-AM-1018-01,38F,AM,10182018,1,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,False,False,False,True,,POINT (-73.954499539822 40.7949716693686)
2670,-73.9743369068254,40.7675726965985,3F-AM-1006-11,03F,AM,10062018,11,Juvenile,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,False,True,False,,False,False,False,False,False,False,False,True,,POINT (-73.9743369068254 40.7675726965985)
2671,-73.9614599022015,40.7945181285991,35A-PM-1013-11,35A,PM,10132018,11,Juvenile,Cinnamon,,Cinnamon+,,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,True,False,False,False,True,,POINT (-73.9614599022015 40.7945181285991)
2673,-73.9771009024581,40.7688793288864,3D-PM-1010-06,03D,PM,10102018,6,Adult,Cinnamon,White,Cinnamon+White,,Ground Plane,FALSE,,False,False,False,False,True,,False,False,False,False,False,False,False,False,,POINT (-73.9771009024581 40.7688793288864)
2695,-73.9501457233643,40.797094356558,42I-PM-1014-01,42I,PM,10142018,1,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,False,False,True,False,False,,False,False,False,False,True,False,True,False,,POINT (-73.9501457233643 40.797094356558)
2724,-73.9658867660358,40.7756523577509,15H-PM-1008-06,15H,PM,10082018,6,Juvenile,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,base of gingko tree,False,False,False,True,False,,False,False,False,False,False,False,True,False,,POINT (-73.9658867660358 40.7756523577509)
2726,-73.974596903918,40.7765498215674,12A-PM-1013-02,12A,PM,10132018,2,Adult,Cinnamon,Gray,Cinnamon+Gray,,Ground Plane,FALSE,,True,False,True,False,True,,False,False,False,False,True,False,False,True,,POINT (-73.974596903918 40.7765498215674)
2731,-73.9694185786221,40.7787189999566,16D-AM-1007-06,16D,AM,10072018,6,Adult,Cinnamon,White,Cinnamon+White,primary color: brown ( I marked cinnamon as closest to brown - JO),Ground Plane,FALSE,,True,False,False,False,True,,False,False,False,False,False,False,True,False,,POINT (-73.9694185786221 40.7787189999566)
2734,-73.9768096953647,40.7708185213129,5C-PM-1010-08,05C,PM,10102018,8,Adult,Cinnamon,"Gray, White","Cinnamon+Gray, White",,Ground Plane,FALSE,,True,False,False,False,False,,False,False,False,False,False,False,False,False,,POINT (-73.9768096953647 40.7708185213129)
2738,-73.9681960138614,40.7726867422002,11H-AM-1010-02,11H,AM,10102018,2,,Cinnamon,Gray,Cinnamon+Gray,,,,,False,False,False,True,False,,False,False,False,False,True,False,True,False,,POINT (-73.9681960138614 40.7726867422002)
